id;user_id;location_id;picture_id;"created_at";"updated_at";"deleted_at"
1;1;1;1;"2017-10-28 10:02:00";"2017-10-28 10:02:00";NULL
2;1;2;2;"2017-11-25 10:12:00";"2017-11-25 10:12:00";NULL
