id;latitude;longitude;"created_at";"updated_at";"deleted_at"
1;46.65417;8.67722;"2017-10-28 10:02:00";"2017-10-28 10:02:00";NULL
2;57.24361;12.12167;"2017-11-25 10:12:00";"2017-11-25 10:12:00";NULL
