id;user_id;"name";"note";"created_at";"updated_at";"deleted_at"
1;1;"País Vasco";NULL;"2018-07-12 17:00:00";"2018-07-12 17:00:00";NULL
2;1;"Cantabria";NULL;"2018-07-12 17:00:00";"2018-07-12 17:00:00";NULL
